token,label
bhaddal singh,human
prasugrel,medicine
lokesh manchanda,human
ram kumar,human
rakesh kumar yadav,human
gautam kumar,human
raman s/o gavinder and ansh s/o farukh khan,human
cardizem la,medicine
aamir hussain,human
integra f,medicine
zzzquil,medicine
birgesh kumar gupta,human
niwas,human
mohd umar,human
sachin rajput,human
sonu saksena,human
46</span> users found this comment helpful.,diagnosis
modafinil,medicine
udaiveer,human
ergocalciferol,medicine
parnav kumar,human
sahlesh kumar,human
rakesh  singh,human
ravinath,human
mithlesh kumar,human
polycystic ovary syndrome,diagnosis
mohd jahid,human
shi8vprakash,human
manash,human
8</span> users found this comment helpful.,diagnosis
ranibizumab,medicine
linezolid,medicine
esophageal variceal hemorrhage prophylaxis,diagnosis
belladonna / opium,medicine
ganciclovir,medicine
kashiv,human
anuj tiwari,human
ciprofloxacin / dexamethasone,medicine
atropine,medicine
flagyl,medicine
cyclopentolate,medicine
rajiv madhur gupta,human
mahbir parsad,human
monu agrwal,human
"herpes simplex, mucocutaneous/immunocompetent host",diagnosis
chhanoyar shekh,human
amlesh saha,human
difficulty in squatting  MRI - WNL,complaints
magnesium citrate,medicine
ravikant,human
jafruddin,human
ravishankar,human
mithu lal,human
sachin kumar sharma,human
moshin raza,human
praveen jain,human
yusuf,human
laxman mehtu,human
paras chawla,human
kewal singh,human
(L) knee Patellar tendinitis,diagnosis
dibucaine,medicine
mohammad kaif,human
arvind,human
nardil,medicine
bhagvati parsad,human
khurshid sidhiki,human
harender singh,human
avian influenza,diagnosis
vikarm singh,human
trental,medicine
rakesh jatav,human
hi-vegi-lip,medicine
iswar sharan,human
akilesh,human
dimpal,human
satish kumar aggarwal,human
mamraj sharma s/o genda lal sharma,human
tussicaps,medicine
dishad,human
ramchander singh,human
sanjay mashi,human
revatio,medicine
jahir alam,human
trulicity,medicine
sunder singh,human
embeline,medicine
busulfan,medicine
jogender kumar,human
karan gupta,human
binder singh,human
md sehjan,human
prempro,medicine
shivam mishra,human
sitaram pal,human
aamod & pramod,human
smt ashan,human
ajay saday,human
bosentan,medicine
panchuram meena,human
ratan lal sharma,human
ibudone,medicine
nathani mandal,human
sanjay saha,human
citric acid / potassium citrate,medicine
hare krishana mishra,human
mahender chaudhary,human
synvisc-one,medicine
sauhal,human
gurcharan,human
suraj puri,human
puskar singh dhami,human
narayan lal,human
panoxyl 10% acne foaming wash,medicine
rajnesh,human
jitender sehrawat,human
salmaan,human
subodh kumar,human
bagaram,human
maprotiline,medicine
esrail khan,human
ravi kant boity,human
prahlad,human
nanhe lal,human
garv,human
dakshina murthi,human
opiate dependence,diagnosis
dilshad saifi,human
ranjan rawat,human
depression,diagnosis
sumit sah,human
mukesh vaishnav,human
temporomandibular joint disorde,diagnosis
melpaque hp,medicine
barjesh,human
bachheshwar paswan,human
akshay kumar,human
md. sufiyan,human
bhagirath sharma,human
rajvir,human
noor mohammad,human
om prakash mishra,human
chander swaroop,human
ribavirin,medicine
sombir,human
myelofibrosis,diagnosis
benzoic acid / salicylic acid,medicine
dhaney,human
zenzedi,medicine
pilocarpine,medicine
sumit mitra,human
hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate,medicine
entresto,medicine
24</span> users found this comment helpful.,diagnosis
ankush sharma,human
plan b one-step,medicine
carvedilol,medicine
hydrocodone / pseudoephedrine,medicine
rame,human
dermal filler,medicine
probenecid and colchicine,medicine
lal chand,human
velcade,medicine
lawli / lakky,human
dupilumab,medicine
"manoj kumar, jawalaprasad, r/o j.j. colony sawada,",human
ethinyl estradiol / etonogestrel,medicine
duac,medicine
sh.  santosh choudhary,human
ajay choudhary,human
narayan singh,human
naveen chandra pandey,human
harinder,human
guarana,medicine
pomalyst,medicine
kerydin,medicine
minocycline,medicine
next choice,medicine
satyaprakash,human
daklinza,medicine
harishankar,human
pancham,human
rajesh god,human
alok kumar,human
ganga ram,human
subutex,medicine
benzamycin,medicine
pr natal 400,medicine
sanny s/o ram shanker,human
masheen yadav,human
norvir,medicine
om prakash,human
nifedical xl,medicine
azelex,medicine
ram kuamr,human
dilsad,human
bhupen dawara,human
jagdish kumar sagar,human
dexbrompheniramine / pseudoephedrine,medicine
kirti thakur,human
potassium iodide,medicine
estrace,medicine
lalan singh,human
dharam raj,human
desyrel,medicine
"hair, skin & nails",medicine
brij bhusan sharma,human
human papillomavirus vaccine,medicine
druga lal,human
"breast cancer, adjuvant",diagnosis
netrapal,human
ram jivan,human
ashad madik,human
kiran,human
kundan singh,human
javed,human
aliskiren,medicine
taj mohd,human
zurampic,medicine
generess fe,medicine
santosh kumar panday,human
mohar snigh,human
vikrant,human
sachin,human
creon,medicine
hypoparathyroidism,diagnosis
sohil,human
javid,human
kauva,human
baldev,human
sanjey,human
suraj paswan,human
subham,human
gout,diagnosis
nora-be,medicine
sanny,human
mohit sharma,human
osteolytic bone lesions of multiple myeloma,diagnosis
vipin,human
perampanel,medicine
pardep kumar meena,human
mukesh mandal,human
virender jain,human
devi lal,human
ballu,human
human papilloma virus,diagnosis
deepak ahalawat,human
daaud,human
smt. jyoti,human
goldenseal,medicine
abhimanyu,human
satish,human
duramorph,medicine
ramjeet,human
naresh kumar sharma,human
basibul,human
gudiya,human
neurosis,diagnosis
Sonali Killcarni,human
mohan singh,human
zoloft,medicine
md. raju,human
chander perkash,human
coenzyme q10,medicine
slow fe,medicine
sumit chhouhan,human
neutrasal,medicine
harison,human
estrasorb,medicine
jawahar singh,human
vipin gujral,human
punit sharma,human
chondroitin / glucosamine / methylsulfonylmethane,medicine
spectracef,medicine
satpal singh,human
padam chand,human
tylenol with codeine 3,medicine
perphenazine,medicine
mohd kamran,human
muntjar,human
carisoprodol,medicine
dharm singh thakur,human
tenormin,medicine
radheshyam gupta,human
abhishek singh,human
kishan singh adhkari,human
sarves,human
aromasin,medicine
sukhdev singh,human
gourav mital,human
bactrim ds,medicine
nandkishore karpenter,human
quinidine,medicine
amlodipine / benazepril,medicine
gaurav sharma,human
hifjul kha,human
naruram,human
raghbir,human
pneumococcal disease prophylaxis,diagnosis
ery-tab,medicine
himanshu mahajan,human
reslizumab,medicine
ailure to thrive,diagnosis
satvir singh,human
norlyda,medicine
pawan dixit,human
girish chand,human
mool chand sharma,human
emergency contraception,diagnosis
vishal kumar,human
aldactazide,medicine
mod- akram,human
verelan,medicine
sikender,human
bulet singh,human
kartik,human
"prosthetic heart valves, tissue valves - thrombosis prophylaxis",diagnosis
43</span> users found this comment helpful.,diagnosis
rohtash,human
anamol modi,human
simvastatin,medicine
ketoprofen,medicine
sukhdev manjhi,human
naman jain,human
krishen kumar,human
rameshwer nagar,human
symlinpen 60,medicine
chirag,human
limbitrol ds,medicine
raj dhameja,human
renvela,medicine
naveen rawat,human
nayeem,human
commit,medicine
suraja ram,human
nareshpal,human
cometriq,medicine
santosh singh,human
fenofibrate,medicine
shyam narain pande,human
nawab ali,human
ventolin,medicine
bhagwana ram,human
sanavvar,human
naitik,human
besivance,medicine
sunil kumar mehto,human
gardasil,medicine
saidul,human
tanish,human
sulfamethoxazole / trimethoprim,medicine
irbesartan,medicine
irritable bowel syndrome,diagnosis
caffeine / ergotamine,medicine
hashim,human
moh  farman,human
hyperprolactinemia,diagnosis
arbaz,human
plexion cleanser,medicine
"nand kishor, puppu",human
cerefolin nac,medicine
bhojpal,human
pawan,human
satbir chada,human
ankesh tiwari,human
nikhil urf jimmi choudhri,human
dhukhu ram,human
gallbladder disease,diagnosis
abhishek tiwari,human
rajendar singh,human
ram lal,human
jagdish prasad,human
gyan prakash,human
raud ali,human
atrial fibrillation,diagnosis
prinivil,medicine
prakash,human
goldi chopra,human
ajay,human
magnesium hydroxide,medicine
shamshad,human
keshav raj,human
crisaborole,medicine
lennox-gastaut syndrome,diagnosis
aadil sefi,human
dhani dass,human
kedarmal,human
"ulcerative colitis, active",diagnosis
samadhan more,human
lekhram,human
afrin,medicine
anikesh,human
doc-q-lax,medicine
kundan kumar choudhary s/o kedar choudhary r,human
f/45yrs,human
av heart block,diagnosis
brijnandan mehato,human
letairis,medicine
meridia,medicine
meperitab,medicine
rahisuddin,human
balak singh,human
sh phool chand sharma,human
mohd saddam,human
nirmal kumar,human
shetan,human
peripheral t-cell lymphoma,diagnosis
shkil khan,human
balraj singh,human
prolixin,medicine
mukul sharma,human
lukman,human
rahul singh,human
rajat kuamr,human
popinder,human
aditya prasad,human
virender kumar,human
kashiram,human
madan gopal,human
ashwani,human
mohd sohaib,human
gulshan singh,human
aman mandal,human
tessalon,medicine
bake lal,human
zafar alam,human
phoslo,medicine
manjit singh,human
Kamalbai shelle,human
sanctura,medicine
loestrin fe 1.5 / 30,medicine
eliquis,medicine
citranatal assure,medicine
sagar,human
cheete,human
body imaging,diagnosis
lakh ram,human
biitu tomar,human
methyldopa,medicine
famvir,medicine
strattera,medicine
jayantadass,human
jahgeer,human
antihemophilic factor,medicine
oxytocin,medicine
ramniwas jat,human
reyaz ahmed malik,human
anastrozole,medicine
kalwant singh,human
biaxin xl,medicine
ved parkash,human
nur ahmad,human
deepak maan,human
shakar,human
lal babu prasad,human
lakhami singh,human
saurab gupta,human
ramesh dubey and his son anoop debey,human
sagar kumar,human
nuwiq,medicine
moharan  devi,human
shamsher  singh,human
uveitis,diagnosis
gaurav tyagi,human
light sedation,diagnosis
M / 66,human
aman junuja,human
krishan lal gulyani,human
midodrine,medicine
hrithik,human
parkinsonism,diagnosis
hydrochlorothiazide / losartan,medicine
vikram bahadur,human
rajesh kumar paswan,human
suman lal,human
ozurdex,medicine
tinnitus,diagnosis
sinusitis,diagnosis
monistat 7,medicine
melanoma,diagnosis
cyclitis,diagnosis
fakir singh rawat,human
sehzad,human
ankit verma,human
naresh adhikari,human
jagdeesh,human
khushi mho,human
dexchlorpheniramine / dextromethorphan / pseudoephedrine,medicine
data ram,human
jeeya lal,human
vishnu parshad sharma,human
riyajudin,human
praveen bharti,human
humate-p,medicine
abdul ahad,human
sitare,human
raj kamal,human
jai,human
"herpes zoster, prophylaxis",diagnosis
nexium 24hr,medicine
rashid ahmead,human
sanwar lal,human
sitagliptin,medicine
dhurpati,human
pegfilgrastim,medicine
jhagdoo,human
ashish urf bablu,human
primidone,medicine
levocetirizine,medicine
zostrix diabetic foot pain,medicine
declomycin,medicine
bladder infection,diagnosis
ebane ali,human
fludarabine,medicine
md. tavrej,human
naved noor,human
nasiar khan,human
alka-seltzer plus cold,medicine
vishanu,human
satya,human
ravi kumar ojha,human
subhash chand,human
kamal shayam sukha,human
kifayat tula khan,human
shafibul,human
mangeram,human
sai das,human
nizam,human
suraj singh,human
spironolactone,medicine
all day allergy,medicine
rajpal singh,human
prdeep,human
besifloxacin,medicine
tranxene,medicine
chunni lal,human
mithlesh,human
pneumococcal 13-valent vaccine,medicine
salaman,human
tanmay dev nath,human
wasimuddin,human
tioconazole,medicine
pawan kumar gupta,human
rana gandhi,human
kishor negi,human
fleet bisacodyl,medicine
lipodystrophy,diagnosis
sakhichander,human
devanand,human
pargat singh,human
OA knees ,diagnosis
natazia,medicine
botox,medicine
rupender,human
heera,human
narayan sharma,human
mohd imran,human
manoj sharma,human
stomach cance,diagnosis
iswer singh,human
sanjiv pathak,human
subarachnoid hemorrhage,diagnosis
chetan yogi,human
dheeraj passi,human
tolaram / bhanvar lal,human
nisar ahamad,human
artane,medicine
kishan rai,human
prateek bhaskar,human
chanden kumar mehto,human
valproic acid,medicine
yogendra,human
Kaushalyabai Chavan,human
sh prem singh,human
natesto,medicine
shil kherval,human
bullous pemphigoid,diagnosis
harees sharma,human
chanden,human
amarjeet,human
cisplatin,medicine
shahrukh khan,human
ramdas,human
shkur khan,human
ravi panday,human
sukar yadav,human
kripal singh,human
mr.bhagchand,human
nawab,human
kanhyalal,human
sharobel,medicine
camreselo,medicine
shri gyan chnad,human
shahir,human
dildar khan,human
shambhu munda,human
optivar,medicine
chotum karmokar,human
sandeep thakur,human
mannu,human
cosentyx,medicine
gadoxetate disodium,medicine
lorcaserin,medicine
harpal,human
mustak ahmed,human
tikku,human
dovonex,medicine
bupal,human
pusgpender,human
ramchandra parsad kurmi,human
vishva nath,human
karamvir naagar,human
inder pal,human
dharamvir,human
midda,human
devasish chakarwarti,human
mahesh pal,human
toshar bhatiya,human
rahul shukla,human
psoriatic arthritis,diagnosis
camrese,medicine
dhanna lal,human
kunwar sen,human
rasid,human
monopril,medicine
levothroid,medicine
zestoretic,medicine
ravindra singh kandari,human
tejvir,human
ganesh jha,human
amoxicillin,medicine
ajit,human
coreg cr,medicine
jimi pal,human
famotidine,medicine
vijay rai,human
liletta,medicine
butisol sodium,medicine
shivram,human
hosiyarilal saini,human
lakshay,human
meghu kumar,human
badnath,human
pramod mahashay,human
diprosone,medicine
visine totality multi-symptom relief,medicine
sudafed congestion,medicine
sh. ramhet koli,human
tarceva,medicine
ram chander jha,human
sriniwash sarama,human
sethi,human
pawan kumar sharam,human
dev,human
brovex peb dm,medicine
baljeet singh,human
kishore yadav,human
cyanocobalamin,medicine
levemir,medicine
bhawan singh gusain,human
sidh lal,human
fortesta,medicine
sohan singh urf rupsingh,human
ravinder tyagi,human
saad,human
balbir,human
ali,human
kamal meen,human
thrombocytopenia,diagnosis
shardha nand,human
pramatma pandey,human
papa rao,human
mohd. marukh,human
ortho-cept,medicine
pimecrolimus,medicine
dicyclomine,medicine
tool bahadur,human
gurnam singh,human
ram milan,human
chand miya,human
kalu bhatiya,human
jaideep,human
anemia,diagnosis
karan singh urf rahul,human
mahaveer jain,human
dystonia,diagnosis
9</span> users found this comment helpful.,diagnosis
bhuri singh,human
azo-cranberry,medicine
hitesh,human
pramod gupta,human
parmod tiwari,human
adalat mahto,human
nabal ahamd,human
varun kumar,human
rogaine,medicine
xgeva,medicine
alavert,medicine
shubankar,human
manohar lal,human
co-trimoxazole,medicine
jai singh,human
aaftab,human
som,human
imuran,medicine
64</span> users found this comment helpful.,diagnosis
naftifine,medicine
chanderbal tyagi,human
noor shahid,human
master hansraj,human
kalpesh,human
jeeth p k,human
advair hfa,medicine
gurnam,human
entocort ec,medicine
lotemax,medicine
diazepam,medicine
deepanshu,human
anand goswami,human
amina singh,human
sandeep narwal,human
streptokinase,medicine
mohd uved,human
amit kumar nagliya,human
munnawar ali,human
sarain,human
som dutt,human
gheesa singh,human
shift work sleep disorde,diagnosis
dharam dev podar,human
sh. madan jain,human
lorazepam intensol,medicine
sarif mohammed,human
mohd. arafaat,human
laxman bhadur,human
ahamad,human
ajay singh panwar,human
parmod  kumar,human
umesh patidar,human
symax duotab,medicine
bhudev presad,human
dupixent,medicine
viagra,medicine
afjal,human
hydrocortisone,medicine
radesyam,human
mukesh chauhan,human
mohit chauhan,human
"endometrial hyperplasia, prophylaxis",diagnosis
rghuraj singh,human
tofranil,medicine
arun kaushik,human
mustkim,human
mohd.amir,human
capecitabine,medicine
luvox cr,medicine
ramesh babu,human
"diabetes, type 1",diagnosis
vijay lal,human
mehphal singh,human
dr. mukesh kumar garg,human
keshram,human
deepak,human
subodh,human
rajeev dutt,human
micon 7,medicine
carcinoid tum,diagnosis
systane,medicine
vahab,human
suraj kewat,human
medrol,medicine
coq10,medicine
cholestyramine,medicine
naloxone / oxycodone,medicine
taiyab khan,human
subham sahu,human
kishan singh,human
loestrin 21 1.5 / 30,medicine
acetaminophen / dexbrompheniramine / pseudoephedrine,medicine
dal chand,human
raghunandan pawar,human
kumar anand,human
Suvarna Sarde,human
clopidogrel,medicine
tushar bhaskar,human
harsh,human
methyl salicylate,medicine
bal kirshan,human
shah aftab,human
145</span> users found this comment helpful.,diagnosis
rajkumarm,human
akhlaq ahmad,human
intermittent explosive disorde,diagnosis
rahul tyagi,human
vikas thakur,human
shri kant ghore,human
anil singh kushwah,human
fazaley,human
conestat alfa,medicine
riociguat,medicine
davendra meena,human
piyush kalra,human
sikander pal,human
preeti,human
belladonna tincture,medicine
(L) knee + leg pain,complaints
virnit,human
amrit patel,human
neupro,medicine
sant mishra,human
prevacid solutab,medicine
Sangeeta Dakhorkar,human
sahabudeen,human
shelender yadav,human
razadyne er,medicine
urendra gupta,human
hycodan,medicine
anaprox,medicine
nocardiosis,diagnosis
pemetrexed,medicine
uday singh,human
pardeep singh,human
amba lal,human
roop basant meena,human
schin arora,human
gufran khan,human
vaibhav,human
md afjal,human
sushil,human
mercaptopurine,medicine
ramdev jha,human
cerebrovascular insufficiency,diagnosis
varun s/o mahinder pal,human
imtyaz,human
phenazopyridine,medicine
faizal,human
miha singh,human
F/64years,human
gaurav rawat,human
anup,human
babram,human
iloperidone,medicine
lakhua,human
30</span> users found this comment helpful.,diagnosis
Discogenic  ,diagnosis
naman kaushik,human
gaffar sardar,human
F /49 yr,human
mehboob mehandi,human
chran singh,human
mohd. irfan,human
lovaza,medicine
neupogen,medicine
sanjeev tirpathi,human
ajay haldar,human
shabi abbas,human
darvocet-n 50,medicine
rajneesh bairwa,human
asgar kamal,human
periodontitis,diagnosis
dulcolax,medicine
rajender goyal,human
vijay karan,human
glyburide / metformin,medicine
hyperbilirubinemia,diagnosis
phytonadione,medicine
monu giri,human
manku ram jat,human
gris-peg,medicine
prevacid otc,medicine
nitin dixit,human
rahul sisodiya,human
maxichlor pse dm,medicine
durvesh,human
rakesh yadav,human
lybrel,medicine
degarelix,medicine
cubicin,medicine
jencycla,medicine
vijay rath0r,human
golytely,medicine
acetaminophen / butalbital,medicine
inkoo,human
rahul dhawan,human
silodosin,medicine
babli,human
azurette,medicine
ashsish kumar,human
hemant sharma,human
"high cholesterol, familial homozygous",diagnosis
xarelto,medicine
larin 24 fe,medicine
dinesh kumar sharma,human
shanwaj,human
Dwarka Chavan,human
84</span> users found this comment helpful.,diagnosis
yaqoob,human
amitiza,medicine
esomeprazole / naproxen,medicine
urinary incontinence,diagnosis
rahul bhaskar,human
bacche singh,human
fludrocortisone,medicine
rajender kand pal,human
keshav mattur,human
basal cell carcinoma,diagnosis
Contusion in spine,diagnosis
daypro,medicine
sajid,human
triamcinolone,medicine
iqbal,human
methicillin-resistant staphylococcus aureus infection,diagnosis
mahabir prasad,human
sudhir singh,human
yamin,human
dorzolamide,medicine
mohd kaim,human
coricidin hbp cough & cold,medicine
"anemia, chemotherapy induced",diagnosis
saddam hussain,human
pyridostigmine,medicine
satyam,human
farxiga,medicine
levodopa,medicine
short stature for age,diagnosis
triple antibiotic,medicine
zinc gluconate,medicine
janumet,medicine
M/42yrs,human
bhudhashen,human
mo nadim,human
axid,medicine
chlorpheniramine / dextromethorphan,medicine
glimepiride,medicine
mepron,medicine
rocephin,medicine
deepak kumar,human
alaudin,human
a  d cracked skin relief,medicine
griseofulvin,medicine
crestor,medicine
gulshan grover,human
bhrat narayn,human
kala,human
durgesh kumar,human
vishal verma,human
ramdev,human
ayr saline nasal,medicine
parmod kumar pal,human
mohd. kaish,human
rehaan,human
taushif,human
chakra bahadur,human
hizentra,medicine
ramkishan gupta,human
lexiscan,medicine
soma,medicine
madan kumar,human
arun kundra,human
constipation,diagnosis
bablu jagdish,human
jisaan,human
norgesic,medicine
amkit,human
vemurafenib,medicine
gurdeep,human
hydrocodone,medicine
bacitracin / neomycin / polymyxin b / pramoxine,medicine
fluorouracil,medicine
inderjeet,human
harpal singh,human
aslam ali,human
shi girdhari,human
rahul sagar,human
basant,human
abhishek,human
anurudh choudhary,human
seconal sodium,medicine
md. aakil,human
sanjiv,human
coal tar / salicylic acid / sulfur,medicine
elestrin,medicine
p. murgesh,human
amyotrophic lateral sclerosis,diagnosis
rilonacept,medicine
mohd. amir,human
bir singh,human
jaipal,human
erbitux,medicine
headache relief pm,medicine
anoop dimri,human
jagdamba prashad,human
n. kumar,human
lakki prajapti,human
trelstar,medicine
vijay tyagi,human
thrombocythemia,diagnosis
mild cognitive impairment,diagnosis
avinash,human
addison's disease,diagnosis
tunda urf nathi,human
ashfaq,human
ramkumari devi,human
randhir kumar,human
mohad islam,human
zioptan,medicine
rahish ahmad,human
monu agrawal,human
quinine,medicine
baggusingh,human
akshpaat,human
masoom,human
manoj sethi,human
phakir  chand,human
pitavastatin,medicine
mohd haider,human
om parkash yadav,human
amrish dixit,human
medi-quik spray,medicine
deerendra singh,human
rajuddin,human
parafon forte dsc,medicine
surender nath saini,human
benay kumar dube s/o surendpati dube r/o baradaha,human
tryptophan,medicine
parbhudayal,human
desloratadine,medicine
kamlesh urf jula,human
harish saharan,human
mohamad,human
theo-24,medicine
idiopathic thrombocytopenic purpura,diagnosis
ranju sharma,human
lakshman singh,human
naina,human
uristat,medicine
proctofoam,medicine
demeclocycline,medicine
ashutosh seth,human
vibhash s/o,human
amarjeet singh,human
np thyroid,medicine
herceptin,medicine
androderm,medicine
raj tilak,human
pushpendr,human
ritik,human
manver singh,human
jorj vargees,human
sheh nawaz,human
pahalwan singh,human
mukesh panjara,human
parvinder singh,human
narender singh,human
pawan gupta,human
rajdev bind,human
sarvesh,human
temozolomide,medicine
chronic lymphocytic leukemia,diagnosis
red yeast rice,medicine
shankar kumar,human
ashrfi,human
moh.,human
flovent hfa,medicine
amitriptyline / perphenazine,medicine
ashish sethi,human
punkaj,human
harish rahman,human
sanjeev panday,human
panaj,human
acetaminophen / butalbital / caffeine / codeine,medicine
joni,human
sakir,human
tulsiram,human
bacchu paswan,human
raj kumar saraf,human
shiv kant,human
transient ischemic attack,diagnosis
jawahar lal mittal,human
sumit bhasin,human
md inaam ahmad s/o vishal ahmad,human
pulmicort flexhaler,medicine
s p vinit gupta,human
abhishek seervi,human
kunal kumar,human
naresh chauhan,human
hitesh kumar,human
chlorpheniramine,medicine
opsumit,medicine
perkash,human
dhannu,human
zymar,medicine
mool chnad,human
jai kumar gupta,human
travel-eze,medicine
oxtellar xr,medicine
nitrostat,medicine
harimohan sharma,human
atu verma,human
provocholine,medicine
manu bhai,human
chitu,human
lalit gulati,human
sambhu,human
mitral valve prolapse,diagnosis
vashudev,human
renagel,medicine
gagan bihari sharma,human
naisi ram,human
vyvanse,medicine
tarun soni,human
budeprion xl,medicine
yogendr,human
ankur divedi,human
rahul kumar tiwari,human
loteprednol,medicine
gaurav maheshwari,human
mohmmad  sarif,human
mohd sabbir,human
anil kumar tete,human
inayat hussen,human
bydureon,medicine
fosrenol,medicine
vikash tomar,human
ct b sathya murti,human
tri-sprintec,medicine
najre alam,human
rajendra,human
siddarth chetri,human
azilsartan medoxomil / chlorthalidone,medicine
thiothixene,medicine
ridhakaran sharma,human
ravi kumar gangwal,human
synarel,medicine
wakar ahmad,human
lav,human
raju alias rajaram,human
uptravi,medicine
roopsingh,human
sardar kawaljeet singh,human
sarwan kumar,human
hani,human
ashutosh sharma,human
mohamad faruk,human
niferex,medicine
loperamide,medicine
anil saxsena,human
penlac,medicine
sushila devi,human
thyrotoxicosis,diagnosis
mohmad shadi,human
pintu saini,human
vedprakash,human
vibramycin,medicine
parash das,human
sadur rahman,human
chunnu,human
md salim,human
dilaudid-hp,medicine
nitin parkash,human
nikhil,human
mani kumar,human
akshay,human
pneumonia,diagnosis
istyara ali,human
neeraj kishore,human
tunni lal jaiswal,human
surajpal,human
roxicet,medicine
sardar santbir singh,human
lala ram,human
lawrence s,human
pramlintide,medicine
herpes simplex,diagnosis
ritu raj,human
shankar singh,human
acial wrinkles,diagnosis
sitaram bairwa,human
mr. satyanara,human
gulshan chadda,human
shree nanak,human
pain,diagnosis
kumari archana chauhan,human
ravi choudhary,human
hydrocodone / ibuprofen,medicine
narinder,human
imran,human
dhuruv shetty,human
narain dass khurana,human
rajeev luka,human
insulin aspart,medicine
suboxone,medicine
mohd useel,human
7</span> users found this comment helpful.,diagnosis
pinworm infection (enterobius vermicularis),diagnosis
shankarlal s/o sukharam,human
lal bahadur jha,human
vijay pratap,human
mohit,human
belladonna,medicine
rinku pal,human
14</span> users found this comment helpful.,diagnosis
pardeep hemraj,human
mukesh kumar yogi,human
heera lal urf heero,human
dipu sharma,human
jasim ahemad,human
yohimbine,medicine
icosapent,medicine
sekha nur mohmad,human
divyansh,human
akhlish kumar,human
sunder singh kaintura,human
colorectal cance,diagnosis
larin fe 1 / 20,medicine
rajesh naydu,human
mujeeb,human
manish goyal,human
enulose,medicine
somnath banarji,human
epinephrine,medicine
barium sulfate,medicine
Sudhakar Savai,human
krishan gopal,human
azor,medicine
chlorpheniramine / methscopolamine / phenylephrine,medicine
sahab singh,human
metoprolol,medicine
mohd. saheed,human
jakir,human
parminder singh,human
gauri visht,human
moni,human
recticare,medicine
deepak rana,human
sadab,human
shubham dandriyal,human
pardeep adak,human
nirmal,human
maxalt,medicine
mahesh jatav,human
fosamax,medicine
shiv mangal rai,human
niraparib,medicine
nicotrol inhaler,medicine
aajiv,human
manoj  vajpay,human
navin kumar gutam,human
mumtaj,human
rajesh kumawat,human
imaman,human
shankarlal,human
euvolemic hyponatremia,diagnosis
mohamad sajid,human
mangal chand,human
simcor,medicine
"organ transplant, rejection reversal",diagnosis
vakesh sulemani,human
santosh  kumar,human
udal singh,human
mucinex d,medicine
rohan singh,human
lithium,medicine
rajpal,human
subsys,medicine
tums regular strength,medicine
abhishek tripathi,human
palgic,medicine
62</span> users found this comment helpful.,diagnosis
ritesh,human
amilial cold autoinflammatory syndrome,diagnosis
akib,human
harsh dagar,human
orencia,medicine
ganesh lal,human
fakrudeen,human
raju gharami,human
dextromethorphan / guaifenesin / phenylephrine,medicine
budhu,human
nitin,human
kanishakraj,human
umar farukh,human
pankaj chand,human
lithobid,medicine
tamsulosin,medicine
rambharos,human
bilal,human
platinol,medicine
rohit bairagi,human
rogaine men's extra strength,medicine
vikash kumar,human
dinesh siriwastav,human
ajay mishra,human
maxaron forte,medicine
gavilyte-c,medicine
farukh,human
mohd.afzal,human
majid,human
jat ram,human
dhreej,human
prakash prajapt,human
ibandronate,medicine
lacosamide,medicine
votrient,medicine
shubham mangvar,human
mohd. jafrul,human
tej pal singh,human
joydeep singh,human
nek mohd.,human
teekam,human
squamous cell carcinoma,diagnosis
ramesh  bansal,human
butabarbital,medicine
fentanyl transdermal system,medicine
govind patel,human
naval jha,human
anwari,human
ram lal dangi,human
mantosh,human
ashok agrrwal,human
cyklokapron,medicine
durezol,medicine
ramprasad,human
urecholine,medicine
maraviroc,medicine
milk thistle,medicine
saleem ansari,human
kumari sona,human
dinesh  sen,human
ravi nayak,human
sanjeevan lal,human
subham kumar yadav,human
rafiq ahmed,human
rythmol sr,medicine
temazepam,medicine
dasharath,human
chlorpheniramine / dextromethorphan / phenylephrine,medicine
onzetra xsail,medicine
aman bhatt,human
dharmandra,human
manoj kumar,human
jigar,human
halke,human
mohd. arif,human
hydrocortisone / lidocaine,medicine
rihan,human
mobarkar,human
joint infection,diagnosis
neeraj kandari,human
sameer khanna,human
humalog mix 75 / 25,medicine
dhiraj singh,human
azaruddin,human
rinkal,human
systane balance,medicine
nandi,human
santram meena,human
maneesh kansal,human
raja kumar thakur,human
raghuveer,human
islamudin,human
raj bahadur,human
suman,human
tofacitinib,medicine
khalidur rehman,human
norel sr,medicine
inderjit,human
fastin,medicine
insulin lispro,medicine
balveer sing chawla,human
epinastine,medicine
efudex,medicine
arshad khan,human
rajkumar chawla,human
fanapt,medicine
guddu paswan,human
nadolol,medicine
azilsartan medoxomil,medicine
munder lal,human
manoj kumar josi,human
mohd akhtar,human
hanuman sing,human
ranbir,human
airduo respiclick,medicine
vinoda kumar,human
senexon,medicine
gen bahadur,human
hayatul,human
virtussin a / c,medicine
hydrocortisone / pramoxine,medicine
omparkesh,human
motilal,human
b vikjay kumar,human
sabeer,human
sampat sadashiv saluke,human
shri  aladeen,human
rajinder bhasin alias babbu,human
surya narayan,human
durgesh pandey,human
drixoral cold / flu,medicine
sodan singh,human
glyset,medicine
girish,human
parathvi raj,human
rynatan,medicine
dharam dass,human
kirshna,human
rajat kumar,human
raman sharma,human
